ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742126::Name,1075849176::Physical Name,1075849056::Physical Data Type,1073742125::Definition,1075849148::Comments
1075838981::227,supervisor,Column,Supervisor,Supervisor,varchar(20),A unique number that identifies the employee,A unique number that identifies the employee
1075838981::244,customer number,Column,Customer Number,Customer Number,integer,A unique number associated with Customer,A unique number associated with Customer
1075838981::246,customer address,Column,Customer Address,Customer Address,varchar(20),Street address of the customer,Street address of the customer
1075838981::247,customer city,Column,Customer City,Customer City,varchar(20),City associated with Customer’s address,City associated with Customer’s address
1075838981::248,customer first name,Column,Customer First Name,Customer First Name,varchar(20),First name of a Customer,First name of a Customer
1075838981::249,customer last name,Column,Customer Last Name,Customer Last Name,varchar(20),Last name of a Customer,Last name of a Customer
1075838981::250,customer state,Column,Customer State,Customer State,varchar(20),The two-character state abbreviation associated with customer’s address,The two-character state abbreviation associated with customer’s address
1075838981::251,customer zip code,Column,Customer Zip Code,Customer Zip Code,integer,zip-code associated with Customer’s address,zip-code associated with Customer’s address
1075838981::252,email,Column,Email,Email,varchar,The email address associated with a customer,The email address associated with a customer
1075838981::259,customer number,Column,Customer Number,Customer Number,integer,A unique number associated with Customer,A unique number associated with Customer
1075838981::264,customer number,Column,Customer Number,Customer Number,integer,A unique number associated with Customer,A unique number associated with Customer
1075838981::266,credit card,Column,Credit Card,Credit Card,integer,A credit card number associated with Customer,A credit card number associated with Customer
1075838981::267,credit card exp,Column,Credit Card Exp,Credit Card Exp,integer,Expiration date on the customer’s credit card,Expiration date on the customer’s credit card
1075838981::268,status code,Column,Status Code,Status Code,varchar(20),Payment status associated with a Customer,Payment status associated with a Customer
1075838981::279,credit_card,Column,Credit Card,Credit Card,integer,A credit card number associated with Customer,A credit card number associated with Customer
1075838981::280,credit_card_exp,Column,Credit Card Exp,Credit Card Exp,integer,Expiration date on the customer’s credit card,Expiration date on the customer’s credit card
1075838981::281,status_code,Column,Status Code,Status Code,varchar(20),Payment status associated with a Customer,Payment status associated with a Customer
1075838981::283,customer_number,Column,Customer Number,Customer Number,integer,A unique number associated with Customer,A unique number associated with Customer
1075838981::284,customer_address,Column,Customer Address,Customer Address,varchar(20),Street address of the customer,Street address of the customer
1075838981::285,customer_city,Column,Customer City,Customer City,varchar(20),City associated with Customer’s address,City associated with Customer’s address
1075838981::286,customer_first_name,Column,Customer First Name,Customer First Name,varchar(20),First name of a Customer,First name of a Customer
1075838981::287,customer_last_name,Column,Customer Last Name,Customer Last Name,varchar(20),Last name of a Customer,Last name of a Customer
1075838981::288,customer_state,Column,Customer State,Customer State,varchar(20),The two-character state abbreviation associated with customer’s address,The two-character state abbreviation associated with customer’s address
1075838981::289,customer_zip_code,Column,Customer Zip Code,Customer Zip Code,integer,zip-code associated with Customer’s address,zip-code associated with Customer’s address
1075838981::290,email,Column,Email,Email,varchar,The email address associated with a customer,The email address associated with a customer
1075838981::292,rental_record_date,Column,Rental Record Date,Rental Record Date,datetime,The date on which the rental transaction  is recorded,The date on which the rental transaction  is recorded
1075838981::293,movie_copy_number,Column,Movie Copy Number,Movie Copy Number,integer,A unique number  identifying the movie copy,A unique number  identifying the movie copy
1075838981::294,movie_number,Column,Movie Number,Movie Number,integer,A unique number that identifies a movie,A unique number that identifies a movie
1075838981::295,rental_date,Column,Rental Date,Rental Date,datetime,The date on which the movie was rented,The date on which the movie was rented
1075838981::296,due_date,Column,Due Date,Due Date,datetime,The date on which the  movie is due back to the store,The date on which the  movie is due back to the store
1075838981::297,rental_status,Column,Rental Status,Rental Status,varchar(20),Rental status of the movie copy,Rental status of the movie copy
1075838981::298,overdue_charge,Column,Overdue Charge,Overdue Charge,integer,The amount owed for an overdue movie rental,The amount owed for an overdue movie rental
1075838981::299,rental_rate,Column,Rental Rate,Rental Rate,integer,Amount charged for the rental of a movie,Amount charged for the rental of a movie
1075838981::301,movie_title,Column,Movie Title,Movie Title,varchar(20),,
1075838981::303,credit_card,Column,Credit Card,Credit Card,integer,A credit card number associated with Customer,A credit card number associated with Customer
1075838981::304,credit_card_exp,Column,Credit Card Exp,Credit Card Exp,integer,Expiration date on the customer’s credit card,Expiration date on the customer’s credit card
1075838981::305,status_code,Column,Status Code,Status Code,varchar(20),Payment status associated with a Customer,Payment status associated with a Customer
1075838981::306,Overdue_Charge_Rate,Column,Overdue Charge Rate,Overdue Charge Rate,char(18),,
1075838981::308,customer_number,Column,Customer Number,Customer Number,integer,A unique number associated with Customer,A unique number associated with Customer
1075838981::309,customer_address,Column,Customer Address,Customer Address,varchar(20),Street address of the customer,Street address of the customer
1075838981::310,customer_city,Column,Customer City,Customer City,varchar(20),City associated with Customer’s address,City associated with Customer’s address
1075838981::311,customer_first_name,Column,Customer First Name,Customer First Name,varchar(20),First name of a Customer,First name of a Customer
1075838981::312,customer_last_name,Column,Customer Last Name,Customer Last Name,varchar(20),Last name of a Customer,Last name of a Customer
1075838981::313,customer_state,Column,Customer State,Customer State,varchar(20),The two-character state abbreviation associated with customer’s address,The two-character state abbreviation associated with customer’s address
1075838981::314,customer_zip_code,Column,Customer Zip Code,Customer Zip Code,integer,zip-code associated with Customer’s address,zip-code associated with Customer’s address
1075838981::315,email,Column,Email,Email,varchar,The email address associated with a customer,The email address associated with a customer
1075838981::317,rental_record_date,Column,Rental Record Date,Rental Record Date,datetime,The date on which the rental transaction  is recorded,The date on which the rental transaction  is recorded
1075838981::318,movie_copy_number,Column,Movie Copy Number,Movie Copy Number,integer,A unique number  identifying the movie copy,A unique number  identifying the movie copy
1075838981::319,movie_number,Column,Movie Number,Movie Number,integer,A unique number that identifies a movie,A unique number that identifies a movie
1075838981::320,rental_date,Column,Rental Date,Rental Date,datetime,The date on which the movie was rented,The date on which the movie was rented
1075838981::321,due_date,Column,Due Date,Due Date,datetime,The date on which the  movie is due back to the store,The date on which the  movie is due back to the store
1075838981::322,rental_status,Column,Rental Status,Rental Status,varchar(20),Rental status of the movie copy,Rental status of the movie copy
1075838981::323,overdue_charge,Column,Overdue Charge,Overdue Charge,integer,The amount owed for an overdue movie rental,The amount owed for an overdue movie rental
1075838981::324,rental_rate,Column,Rental Rate,Rental Rate,integer,Amount charged for the rental of a movie,Amount charged for the rental of a movie
1075838981::325,Overdue_Charge_Rate,Column,Overdue Charge Rate,Overdue Charge Rate,char(18),,
1075838981::330,movie number,Column,Movie Number,Movie Number,integer,A unique number that identifies a movie,A unique number that identifies a movie
1075838981::335,store number,Column,Store Number,Store Number,integer,A unique identifier of the video store,A unique identifier of the video store
1075838981::340,payment transaction number,Column,Payment Transaction Number,Payment Transaction Number,integer,A unique number associated with the payment,A unique number associated with the payment
1075838981::342,payment type,Column,Payment Type,Payment Type,char(18),"check\, credit card\, e-payment.","check\, credit card\, e-payment."
1075838981::343,payment amount,Column,Payment Amount,Payment Amount,numeric,The amount paid to rent the movie,The amount paid to rent the movie
1075838981::344,payment date,Column,Payment Date,Payment Date,datetime,The date on which the movie was rented,The date on which the movie was rented
1075838981::345,payment status,Column,Payment Status,Payment Status,varchar(1),The status of the payment,The status of the payment
1075838981::346,check bank number,Column,Check Bank Number,Check Bank Number,integer,The bank number associated with the check issued for payment,The bank number associated with the check issued for payment
1075838981::347,check number,Column,Check Number,Check Number,integer,,
1075838981::348,epay vendor number,Column,Epay Vendor Number,Epay Vendor Number,integer,Defines the vendor associated with the customer’s electronic payment,Defines the vendor associated with the customer’s electronic payment
1075838981::349,epay account number,Column,Epay Account Number,Epay Account Number,integer,Defines the customer account associated with the  electronic payment,Defines the customer account associated with the  electronic payment
1075838981::350,credit card number,Column,Credit Card Number,Credit Card Number,char(18),The number of the customer credit card,The number of the customer credit card
1075838981::351,credit card exp,Column,Credit Card Exp,Credit Card Exp,datetime,Expiration date on the customer’s credit card,Expiration date on the customer’s credit card
1075838981::352,credit card type,Column,Credit Card Type,Credit Card Type,char(18),,
1075838981::355,employee number,Column,Employee Number,Employee Number,varchar(20),A unique number that identifies the employee,A unique number that identifies the employee
1075838981::359,Customer No,Column,Customer No,Customer No,integer,A unique number associated with a customer,A unique number associated with a customer
1075838981::363,customer number,Column,Customer Number,Customer Number,integer,A unique number associated with a customer,A unique number associated with a customer
1075838981::367,payment transaction number,Column,Payment Transaction Number,Payment Transaction Number,integer,A unique number associated with the payment,A unique number associated with the payment
